year,title,binary,budget,domgross,intgross,totalgross
2011,Hobo with a Shotgun,FAIL,3000000,703372,834953,1538325
2011,Hop,FAIL,63000000,108085305,184924333,293009638
2011,Horrible Bosses,PASS,35000000,117538559,214538559,332077118
2011,Hugo,FAIL,180000000,73864507,185033215,258897722
2011,I Am Number Four,FAIL,50000000,55100437,145982797,201083234
2011,Immortals,FAIL,75000000,83504017,211562435,295066452
2011,In Time,FAIL,35000000,37553932,170064664,207618596
2011,Iris,PASS,5500000,5580479,15155021,20735500
2011,Jin ling shi san chai,PASS,100000000,311434,93721434,94032868
2011,Johnny English Reborn,FAIL,45000000,8305970,164539660,172845630
2011,Jumping the Broom,PASS,7000000,37295394,38158601,75453995
2011,Just Go with It,FAIL,80000000,103028109,214974953,318003062
2011,Kill List,FAIL,800000,29063,462206,491269
2011,Killer Elite,FAIL,70000000,25124986,57777106,82902092
2011,Kung Fu Panda 2,PASS,150000000,165249063,664837547,830086610
2011,Le Havre,FAIL,5500000,611709,13480196,14091905
2011,Like Crazy,PASS,250000,3395391,3731489,7126880
2011,Limitless,FAIL,27000000,79249455,169739455,248988910
2011,Margaret,PASS,14000000,47185,47185,94370
2011,Margin Call,FAIL,3400000,5353586,17872206,23225792
2011,Mars Needs Moms,FAIL,150000000,21392758,39549758,60942516
2011,Martha Marcy May Marlene,PASS,1000000,2981038,3531038,6512076
2011,Melancholia,PASS,9400000,3030848,18044073,21074921
2011,Midnight in Paris,PASS,30000000,56816662,154816662,211633324
2011,Mission: Impossible - Ghost Protocol,FAIL,145000000,209397903,694713230,904111133
2011,Moneyball,FAIL,50000000,75605492,111174374,186779866
2011,Mr. Popper&#39;s Penguins,FAIL,55000000,68224452,189624452,257848904
2011,New Year&#39;s Eve,PASS,26000000,54544638,143663899,198208537
2011,No Strings Attached,PASS,25000000,70662220,149228078,219890298
2011,October Baby,PASS,1000000,5355847,5355847,10711694
2011,Our Idiot Brother,PASS,5000000,24814830,25861249,50676079
2011,Paranormal Activity 3,PASS,5000000,104028807,207039844,311068651
2011,Paul,PASS,40000000,37412945,100179814,137592759
2011,Pirates of the Caribbean: On Stranger Tides,FAIL,250000000,241063875,1043663875,1284727750
2011,Priest,FAIL,60000000,29136626,84154026,113290652
2011,Puss in Boots,FAIL,130000000,149260504,554987477,704247981
2011,Rango,FAIL,135000000,123257581,245504574,368762155
2011,Real Steel,FAIL,110000000,85463309,293237309,378700618
2011,Red Riding Hood,PASS,42000000,37662162,90300442,127962604
2011,Red State,PASS,4000000,1065429,1065429,2130858
2011,Restless,PASS,8000000,163753,2818394,2982147
2011,Rio,FAIL,90000000,143619809,487519809,631139618
2011,Rise of the Planet of the Apes,FAIL,93000000,176760185,482860185,659620370
2011,Shame,FAIL,6500000,4002293,10781688,14783981
2011,Snow Flower and the Secret Fan,PASS,6000000,1348205,11348205,12696410
2011,Soul Surfer,PASS,18000000,43853424,47158652,91012076
2011,Source Code,FAIL,32000000,54712227,140428499,195140726
2011,Straw Dogs,PASS,25000000,10324441,11253821,21578262
2011,Sucker Punch,PASS,75000000,36392502,89758389,126150891
2011,Super 8,PASS,50000000,127004179,260095987,387100166
2011,Take Shelter,PASS,4750000,1728953,3128953,4857906
2011,The Adjustment Bureau,FAIL,50200000,62495645,127793502,190289147
2011,The Adventures of Tintin,FAIL,130000000,77591831,373993951,451585782
2011,The Artist,FAIL,16000000,44667095,128256712,172923807
2011,The Best Exotic Marigold Hotel,PASS,10000000,46383639,134729347,181112986
2011,The Cabin in the Woods,FAIL,30000000,42073277,70768144,112841421
2011,The Darkest Hour,PASS,34800000,21443494,62831715,84275209
2011,The Divide,PASS,3000000,18000,18000,36000
2011,The Future,PASS,1000000,568662,568662,1137324
2011,The Girl with the Dragon Tattoo,FAIL,90000000,102515793,233170238,335686031
2011,The Green Hornet,FAIL,110000000,98780042,227983150,326763192
2011,The Guard,FAIL,6000000,5359774,15944629,21304403
2011,The Help,PASS,25000000,169705587,213120004,382825591
2011,The Iron Lady,PASS,14000000,29959436,115592104,145551540
2011,The Lincoln Lawyer,FAIL,40000000,58009200,87145086,145154286
2011,The Mechanic,FAIL,42500000,29121498,76347393,105468891
2011,The Muppets,FAIL,45000000,88625922,160971922,249597844
2011,The Rite,FAIL,37000000,33047633,96047633,129095266
2011,The Roommate,PASS,16000000,37300107,40497461,77797568
2011,The Smurfs,PASS,110000000,142614158,563066551,705680709
2011,The Three Musketeers,FAIL,90000000,20377913,139877913,160255826
2011,The Tree of Life,FAIL,35000000,13305665,62305665,75611330
2011,The Twilight Saga: Breaking Dawn - Part 1,PASS,127500000,281287133,709938657,991225790
2011,Thor,PASS,150000000,181030624,449326618,630357242
2011,Tinker Tailor Soldier Spy,FAIL,21000000,24149393,81452811,105602204
2011,Tower Heist,FAIL,85000000,78046570,153470352,231516922
2011,Transformers: Dark of the Moon,PASS,195000000,352390543,1123794076,1476184619
2011,War Horse,FAIL,70000000,79883359,156815529,236698888
2011,Warrior,FAIL,25000000,13657115,24215385,37872500
2011,We Bought a Zoo,FAIL,50000000,75624550,118924550,194549100
2011,Weekend,FAIL,190000,484592,1577585,2062177
2011,What&#39;s Your Number,PASS,20000000,14011084,30711084,44722168
2011,Winnie the Pooh,FAIL,30000000,26692846,50145607,76838453
2011,X-Men: First Class,PASS,160000000,146408305,355408305,501816610
2011,Young Adult,PASS,12000000,16311571,22750356,39061927
2011,Your Sister&#39;s Sister,PASS,120000,1597486,3090593,4688079
2010,127 Hours,FAIL,18000000,18335230,60735230,79070460
2010,Alice in Wonderland,PASS,200000000,334191110,1024391110,1358582220
2010,Animal Kingdom,FAIL,4200000,1044039,8078683,9122722
2010,Another Year,PASS,8000000,3205706,18505706,21711412
2010,Barney&#39;s Version,PASS,30000000,7502560,8845575,16348135
2010,Beginners,FAIL,3200000,5790894,11564267,17355161
2010,Biutiful,FAIL,35000000,5101237,25101237,30202474
2010,Black Swan,PASS,13000000,106954678,331266710,438221388
2010,Blue Valentine,FAIL,1000000,9737892,16566240,26304132
2010,Burlesque,PASS,55000000,39440655,89657398,129098053
2010,Casino Jack,FAIL,12500000,2039869,2080869,4120738
2010,Centurion,FAIL,15000000,123570,6623570,6747140
2010,Charlie St. Cloud,FAIL,44000000,31206263,48478084,79684347
2010,Clash of the Titans,FAIL,125000000,163214888,493214888,656429776
2010,Conviction,PASS,12500000,6797696,10133552,16931248
2010,Cop Out,FAIL,37000000,44875481,55909910,100785391
2010,Country Strong,PASS,15000000,20218921,20551476,40770397
2010,Cyrus,FAIL,7000000,7468936,10039886,17508822
2010,Date Night,PASS,55000000,98711404,152269033,250980437
2010,Dear John,FAIL,25000000,80014842,111362410,191377252
2010,Despicable Me,PASS,69000000,251513985,543495033,795009018
2010,Devil,PASS,10000000,33679655,63354114,97033769
2010,Diary of a Wimpy Kid,PASS,15000000,64003625,76954311,140957936
2010,Dinner for Schmucks,FAIL,69000000,73026337,86796502,159822839
2010,Don&#39;t Be Afraid of the Dark,PASS,25000000,24046682,31551048,55597730
2010,Due Date,FAIL,65000000,100539043,211739043,312278086
2010,Dylan Dog: Dead of Night,FAIL,20000000,1186538,6090697,7277235
2010,Easy A,PASS,8000000,58401464,76200721,134602185
2010,"Eat, Pray, Love",PASS,60000000,80574010,205846861,286420871
2010,Edge of Darkness,FAIL,60000000,43313890,81208697,124522587
2010,Everything Must Go,FAIL,5000000,2712131,2712131,5424262
2010,Fair Game,PASS,50000000,11497497,26097497,37594994
2010,Faster,FAIL,12000000,23240020,35658648,58898668
2010,For Colored Girls,PASS,21000000,37729698,38017873,75747571
2010,Frozen,FAIL,150000000,393050114,1004550114,1397600228
2010,Get Him To The Greek,FAIL,40000000,61153526,91455875,152609401
2010,Going the Distance,PASS,32000000,17804299,39990165,57794464
2010,Green Zone,FAIL,100000000,35497337,97523020,133020357
2010,Grown Ups,PASS,75000000,162001186,272223430,434224616
2010,Gunless,FAIL,9900000,458054,458054,916108
2010,Harry Potter and the Deathly Hallows: Part 1,PASS,125000000,295983305,956399711,1252383016
2010,Hot Tub Time Machine,FAIL,36000000,50269859,63209958,113479817
2010,How to Train Your Dragon,PASS,165000000,217581231,494870991,712452222
2010,I Am Love,PASS,10000000,5005465,15132211,20137676
2010,Inception,FAIL,160000000,292576195,832584416,1125160611
2010,Insidious,PASS,1500000,54009150,99870886,153880036
2010,Iron Man 2,PASS,170000000,312433331,623561331,935994662
2010,It&#39;s Kind of a Funny Story,FAIL,8000000,6363628,6628326,12991954
2010,Kick-Ass,FAIL,28000000,48071303,97527535,145598838
2010,Knight and Day,FAIL,117000000,76423035,262142047,338565082
2010,Legion,PASS,26000000,40168080,68854097,109022177
2010,Let Me In,FAIL,20000000,12134935,28270399,40405334
2010,Letters to Juliet,FAIL,30000000,53032453,79135982,132168435
2010,Love and Other Drugs,FAIL,30000000,32367005,102719647,135086652
2010,Machete,PASS,12500000,26593646,44331957,70925603
2010,Made In Dagenham,PASS,8000000,1095369,15644196,16739565
2010,Meek&#39;s Cutoff,FAIL,2000000,977772,1869928,2847700
